sample,chromosome,position,coverage
149,chr1,209,19
149,chr1,210,19
149,chr1,211,19
149,chr1,212,17
149,chr1,213,17
149,chr1,214,17
149,chr1,215,17
149,chr1,216,17
149,chr1,217,17
149,chr1,218,17
149,chr1,219,17
149,chr1,220,18
149,chr1,221,18
149,chr1,222,18
149,chr1,223,18
149,chr1,224,18
149,chr1,225,18
149,chr1,226,18
149,chr1,227,18
149,chr1,228,18
149,chr1,229,14
149,chr1,230,14
149,chr1,231,16
149,chr1,232,16
149,chr1,233,16
149,chr1,234,16
149,chr1,235,16
149,chr1,236,16
149,chr1,237,14
149,chr1,238,14
149,chr1,239,14
149,chr1,240,14
149,chr1,241,14
149,chr1,242,14
149,chr1,243,14
149,chr1,244,14
149,chr1,245,14
149,chr1,246,14
149,chr1,247,16
149,chr1,248,16
149,chr1,249,16
149,chr1,250,16
149,chr1,251,16
149,chr1,252,16
149,chr1,253,16
149,chr1,254,16
149,chr1,255,16
149,chr1,256,16
149,chr1,257,15
149,chr1,258,15
149,chr1,259,14
149,chr1,260,16
149,chr1,261,16
149,chr1,262,14
149,chr1,263,14
149,chr1,264,14
149,chr1,265,14
149,chr1,266,14
149,chr1,267,14
149,chr1,268,14
149,chr1,269,14
149,chr1,270,14
149,chr1,271,14
149,chr1,272,14
149,chr1,273,18
149,chr1,274,18
149,chr1,275,18
149,chr1,276,18
149,chr1,277,18
149,chr1,278,16
149,chr1,279,16
149,chr1,280,16
149,chr1,281,16
149,chr1,282,16
149,chr1,283,16
149,chr1,284,16
149,chr1,285,16
149,chr1,286,16
149,chr1,287,15
149,chr1,288,15
149,chr1,289,15
149,chr1,290,15
149,chr1,291,15
149,chr1,292,16
149,chr1,293,16
149,chr1,294,16
149,chr1,295,16
149,chr1,296,16
149,chr1,297,16
149,chr1,298,15
149,chr1,299,15
149,chr1,300,15
149,chr1,301,15
149,chr1,302,15
149,chr1,303,15
149,chr1,304,15
149,chr1,305,15
149,chr1,306,15
149,chr1,307,15
149,chr1,308,15
149,chr1,309,15
149,chr1,310,15
149,chr1,311,15
149,chr1,312,15
149,chr1,313,17
149,chr1,314,17
149,chr1,315,17
149,chr1,316,17
149,chr1,317,17
149,chr1,318,17
149,chr1,319,17
149,chr1,320,17
149,chr1,321,20
149,chr1,322,21
149,chr1,323,21
149,chr1,324,21
149,chr1,325,21
149,chr1,326,21
149,chr1,327,21
149,chr1,328,21
149,chr1,329,21
149,chr1,330,19
149,chr1,331,19
149,chr1,332,20
149,chr1,333,20
149,chr1,334,19
149,chr1,335,19
149,chr1,336,21
149,chr1,337,21
149,chr1,338,21
149,chr1,339,21
149,chr1,340,21
149,chr1,341,21
149,chr1,342,21
149,chr1,343,22
149,chr1,344,20
149,chr1,345,20
149,chr1,346,20
149,chr1,347,20
149,chr1,348,20
149,chr1,349,20
149,chr1,350,20
149,chr1,351,20
149,chr1,352,20
149,chr1,353,20
149,chr1,354,20
149,chr1,355,20
149,chr1,356,20
149,chr1,357,20
149,chr1,358,20
149,chr1,359,18
149,chr1,360,18
149,chr1,361,19
149,chr1,362,23
149,chr1,363,23
149,chr1,364,23
149,chr1,365,23
149,chr1,366,23
149,chr1,367,23
149,chr1,368,23
149,chr1,369,23
149,chr1,370,21
149,chr1,371,18
149,chr1,372,18
149,chr1,373,18
149,chr1,374,18
149,chr1,375,18
149,chr1,376,18
149,chr1,377,18
149,chr1,378,18
149,chr1,379,18
149,chr1,380,18
149,chr1,381,18
149,chr1,382,16
149,chr1,383,16
149,chr1,384,16
149,chr1,385,16
149,chr1,386,16
149,chr1,387,16
149,chr1,388,16
149,chr1,389,16
149,chr1,390,16
149,chr1,391,16
149,chr1,392,16
149,chr1,393,16
149,chr1,394,16
149,chr1,395,16
149,chr1,396,16
149,chr1,397,16
149,chr1,398,16
149,chr1,399,16
149,chr1,400,16
149,chr1,401,16
149,chr1,402,16
149,chr1,403,16
149,chr1,404,16
149,chr1,405,16
149,chr1,406,16
149,chr1,407,16
149,chr1,408,16
149,chr1,409,16
149,chr1,410,16
149,chr1,411,14
149,chr1,412,14
149,chr1,413,14
149,chr1,414,14
149,chr1,415,14
149,chr1,416,14
149,chr1,417,14
149,chr1,418,14
149,chr1,419,14
149,chr1,420,14
149,chr1,421,14
149,chr1,422,14
149,chr1,423,14
149,chr1,424,14
149,chr1,425,14
149,chr1,426,14
149,chr1,427,14
149,chr1,428,15
149,chr1,429,15
149,chr1,430,15
149,chr1,431,15
149,chr1,432,15
149,chr1,433,15
149,chr1,434,15
149,chr1,435,15
149,chr1,436,15
149,chr1,437,15
149,chr1,438,15
149,chr1,439,15
149,chr1,440,15
149,chr1,441,15
149,chr1,442,15
149,chr1,443,14
149,chr1,444,14
149,chr1,445,14
149,chr1,446,14
149,chr1,447,16
149,chr1,448,16
149,chr1,449,16
149,chr1,450,16
149,chr1,451,16
149,chr1,452,16
149,chr1,453,20
149,chr1,454,20
149,chr1,455,20
149,chr1,456,20
149,chr1,457,20
149,chr1,458,20
149,chr1,459,20
149,chr1,460,20
149,chr1,461,20
149,chr1,462,20
149,chr1,463,20
149,chr1,464,20
149,chr1,465,20
149,chr1,466,20
149,chr1,467,20
149,chr1,468,21
149,chr1,469,21
149,chr1,470,21
149,chr1,471,21
149,chr1,472,18
149,chr1,473,17
149,chr1,474,21
149,chr1,475,21
149,chr1,476,22
149,chr1,477,22
149,chr1,478,23
149,chr1,479,23
149,chr1,480,23
149,chr1,481,23
149,chr1,482,23
149,chr1,483,22
149,chr1,484,22
149,chr1,485,22
149,chr1,486,22
149,chr1,487,20
149,chr1,488,20
149,chr1,489,20
149,chr1,490,20
149,chr1,491,23
149,chr1,492,23
149,chr1,493,23
149,chr1,494,21
149,chr1,495,21
149,chr1,496,21
149,chr1,497,20
149,chr1,498,20
149,chr1,499,20
149,chr1,500,20
149,chr1,501,20
149,chr1,502,20
149,chr1,503,20
149,chr1,504,20
149,chr1,505,20
149,chr1,506,20
149,chr1,507,20
149,chr1,508,20
149,chr1,509,20
149,chr1,510,22
149,chr1,511,22
149,chr1,512,21
149,chr1,513,19
149,chr1,514,19
149,chr1,515,19
149,chr1,516,19
149,chr1,517,19
149,chr1,518,19
149,chr1,519,19
149,chr1,520,19
149,chr1,521,17
149,chr1,522,17
149,chr1,523,17
149,chr1,524,17
149,chr1,525,17
149,chr1,526,17
149,chr1,527,18
149,chr1,528,18
149,chr1,529,18
149,chr1,530,18
149,chr1,531,18
149,chr1,532,18
149,chr1,533,18
149,chr1,534,18
149,chr1,535,12
149,chr1,536,12
149,chr1,537,12
149,chr1,538,12
149,chr1,539,12
149,chr1,540,12
149,chr1,541,12
149,chr1,542,12
149,chr1,543,12
149,chr1,544,12
149,chr1,545,12
149,chr1,546,12
149,chr1,547,12
149,chr1,548,12
149,chr1,549,12
149,chr1,550,12
149,chr1,551,12
149,chr1,552,12
149,chr1,553,12
149,chr1,554,12
149,chr1,555,12
149,chr1,556,13
149,chr1,557,17
149,chr1,558,17
149,chr1,559,17
149,chr1,560,17
149,chr1,561,17
149,chr1,562,17
149,chr1,563,17
149,chr1,564,17
149,chr1,565,17
149,chr1,566,17
149,chr1,567,17
149,chr1,568,17
149,chr1,569,17
149,chr1,570,17
149,chr1,571,17
149,chr1,572,17
149,chr1,573,18
149,chr1,574,18
149,chr1,575,18
149,chr1,576,18
149,chr1,577,20
149,chr1,578,20
149,chr1,579,17
149,chr1,580,17
149,chr1,581,17
149,chr1,582,17
149,chr1,583,17
149,chr1,584,17
149,chr1,585,17
149,chr1,586,17
149,chr1,587,17
149,chr1,588,17
149,chr1,589,19
149,chr1,590,19
149,chr1,591,19
149,chr1,592,19
149,chr1,593,19
149,chr1,594,19
149,chr1,595,19
149,chr1,596,19
149,chr1,597,19
149,chr1,598,17
149,chr1,599,15
149,chr1,600,15
149,chr1,601,15
149,chr1,602,15
149,chr1,603,15
149,chr1,604,15
149,chr1,605,15
149,chr1,606,15
149,chr1,607,15
149,chr1,608,15
149,chr1,609,15
149,chr1,610,15
149,chr1,611,15
149,chr1,612,15
149,chr1,613,15
149,chr1,614,15
149,chr1,615,15
149,chr1,616,15
149,chr1,617,15
149,chr1,618,15
149,chr1,619,14
149,chr1,620,14
149,chr1,621,14
149,chr1,622,14
149,chr1,623,14
149,chr1,624,14
149,chr1,625,14
149,chr1,626,14
149,chr1,627,12
149,chr1,628,12
149,chr1,629,12
149,chr1,630,12
149,chr1,631,12
149,chr1,632,12
149,chr1,633,12
149,chr1,634,12
149,chr1,635,12
149,chr1,636,12
149,chr1,637,14
149,chr1,638,14
149,chr1,639,14
149,chr1,640,14
149,chr1,641,14
149,chr1,642,14
149,chr1,643,14
149,chr1,644,14
149,chr1,645,14
149,chr1,646,14
149,chr1,647,14
149,chr1,648,14
149,chr1,649,14
149,chr1,650,14
149,chr1,651,14
149,chr1,652,14
149,chr1,653,14
149,chr1,654,14
149,chr1,655,14
149,chr1,656,14
149,chr1,657,14
149,chr1,658,14
149,chr1,659,20
149,chr1,660,20
149,chr1,661,20
149,chr1,662,20
149,chr1,663,20
149,chr1,664,20
149,chr1,665,20
149,chr1,666,20
149,chr1,667,20
149,chr1,668,20
149,chr1,669,20
149,chr1,670,20
149,chr1,671,20
149,chr1,672,20
149,chr1,673,20
149,chr1,674,20
149,chr1,675,20
149,chr1,676,20
149,chr1,677,20
149,chr1,678,15
149,chr1,679,15
149,chr1,680,15
149,chr1,681,15
149,chr1,682,15
149,chr1,683,15
149,chr1,684,15
149,chr1,685,15
149,chr1,686,15
149,chr1,687,15
149,chr1,688,15
149,chr1,689,15
149,chr1,690,15
149,chr1,691,15
149,chr1,692,15
149,chr1,693,15
149,chr1,694,13
149,chr1,695,16
149,chr1,696,16
149,chr1,697,16
149,chr1,698,16
149,chr1,699,16
149,chr1,700,16
149,chr1,701,16
149,chr1,702,16
149,chr1,703,14
149,chr1,704,14
149,chr1,705,14
149,chr1,706,14
149,chr1,707,13
149,chr1,708,13
149,chr1,709,13
149,chr1,710,13
149,chr1,711,13
149,chr1,712,13
149,chr1,713,13
149,chr1,714,13
149,chr1,715,13
149,chr1,716,13
149,chr1,717,13
149,chr1,718,13
149,chr1,719,13
149,chr1,720,13
149,chr1,721,13
149,chr1,722,13
149,chr1,723,13
149,chr1,724,12
149,chr1,725,12
149,chr1,726,12
149,chr1,727,12
149,chr1,728,12
149,chr1,729,12
149,chr1,730,12
149,chr1,731,12
149,chr1,732,10
149,chr1,733,10
149,chr1,734,10
149,chr1,735,10
149,chr1,736,10
149,chr1,737,10
149,chr1,738,10
149,chr1,739,10
149,chr1,740,10
149,chr1,741,10
149,chr1,742,10
149,chr1,743,10
149,chr1,744,10
149,chr1,745,10
149,chr1,746,10
149,chr1,747,4
149,chr1,748,4
149,chr1,749,4
149,chr1,750,4
149,chr1,751,4
149,chr1,752,4
149,chr1,753,4
149,chr1,754,4
149,chr1,755,4
149,chr1,756,5
149,chr1,757,5
149,chr1,758,5
149,chr1,759,5
149,chr1,760,5
149,chr1,761,5
149,chr1,762,5
149,chr1,763,5
149,chr1,764,7
149,chr1,765,7
149,chr1,766,7
149,chr1,767,7
149,chr1,768,7
149,chr1,769,7
149,chr1,770,7
149,chr1,771,7
149,chr1,772,7
149,chr1,773,7
149,chr1,774,7
149,chr1,775,7
149,chr1,776,7
149,chr1,777,7
149,chr1,778,7
149,chr1,779,7
149,chr1,780,9
149,chr1,781,9
149,chr1,782,9
149,chr1,783,9
149,chr1,784,9
149,chr1,785,9
149,chr1,786,9
149,chr1,787,9
149,chr1,788,9
149,chr1,789,9
149,chr1,790,12
149,chr1,791,12
149,chr1,792,12
149,chr1,793,11
149,chr1,794,11
149,chr1,795,11
149,chr1,796,11
149,chr1,797,12
149,chr1,798,12
149,chr1,799,12
149,chr1,800,12
149,chr1,801,14
149,chr1,802,15
149,chr1,803,15
149,chr1,804,15
149,chr1,805,15
149,chr1,806,15
149,chr1,807,15
149,chr1,808,15
149,chr1,809,15
149,chr1,810,13
149,chr1,811,13
149,chr1,812,13
149,chr1,813,13
149,chr1,814,13
149,chr1,815,13
149,chr1,816,13
149,chr1,817,13
149,chr1,818,13
149,chr1,819,13
149,chr1,820,13
149,chr1,821,13
149,chr1,822,13
149,chr1,823,13
149,chr1,824,13
149,chr1,825,13
149,chr1,826,13
149,chr1,827,13
149,chr1,828,15
149,chr1,829,15
149,chr1,830,15
149,chr1,831,16
149,chr1,832,16
149,chr1,833,16
149,chr1,834,16
149,chr1,835,16
149,chr1,836,16
149,chr1,837,16
149,chr1,838,16
149,chr1,839,16
149,chr1,840,16
149,chr1,841,20
149,chr1,842,20
149,chr1,843,20
149,chr1,844,20
149,chr1,845,20
149,chr1,846,16
149,chr1,847,16
149,chr1,848,14
149,chr1,849,14
149,chr1,850,14
149,chr1,851,14
149,chr1,852,14
149,chr1,853,14
149,chr1,854,14
149,chr1,855,14
149,chr1,856,14
149,chr1,857,14
149,chr1,858,14
149,chr1,859,15
149,chr1,860,15
149,chr1,861,15
149,chr1,862,15
149,chr1,863,15
149,chr1,864,15
149,chr1,865,15
149,chr1,866,15
149,chr1,867,15
149,chr1,868,15
149,chr1,869,15
149,chr1,870,16
149,chr1,871,16
149,chr1,872,16
149,chr1,873,16
149,chr1,874,16
149,chr1,875,16
149,chr1,876,16
149,chr1,877,20
149,chr1,878,22
149,chr1,879,22
149,chr1,880,23
149,chr1,881,23
149,chr1,882,19
149,chr1,883,19
149,chr1,884,19
149,chr1,885,19
149,chr1,886,19
149,chr1,887,19
149,chr1,888,19
149,chr1,889,19
149,chr1,890,19
149,chr1,891,19
149,chr1,892,19
149,chr1,893,19
149,chr1,894,19
149,chr1,895,19
149,chr1,896,19
149,chr1,897,19
149,chr1,898,19
149,chr1,899,19
149,chr1,900,20
149,chr1,901,20
149,chr1,902,20
149,chr1,903,23
149,chr1,904,23
149,chr1,905,23
149,chr1,906,23
149,chr1,907,22
149,chr1,908,22
149,chr1,909,22
149,chr1,910,22
149,chr1,911,22
149,chr1,912,22
149,chr1,913,22
149,chr1,914,22
149,chr1,915,22
149,chr1,916,22
149,chr1,917,22
149,chr1,918,22
149,chr1,919,22
149,chr1,920,22
149,chr1,921,22
149,chr1,922,22
149,chr1,923,22
149,chr1,924,22
149,chr1,925,22
149,chr1,926,22
149,chr1,927,23
149,chr1,928,23
149,chr1,929,23
149,chr1,930,23
149,chr1,931,21
149,chr1,932,21
149,chr1,933,21
149,chr1,934,21
149,chr1,935,21
149,chr1,936,21
149,chr1,937,21
149,chr1,938,23
149,chr1,939,23
149,chr1,940,23
149,chr1,941,24
149,chr1,942,24
149,chr1,943,24
149,chr1,944,24
149,chr1,945,24
149,chr1,946,24
149,chr1,947,24
149,chr1,948,23
149,chr1,949,23
149,chr1,950,23
149,chr1,951,23
149,chr1,952,21
149,chr1,953,20
149,chr1,954,20
149,chr1,955,20
149,chr1,956,20
149,chr1,957,20
149,chr1,958,20
149,chr1,959,20
149,chr1,960,20
149,chr1,961,20
149,chr1,962,20
149,chr1,963,20
149,chr1,964,20
149,chr1,965,20
149,chr1,966,20
149,chr1,967,20
149,chr1,968,20
149,chr1,969,20
149,chr1,970,16
149,chr1,971,16
149,chr1,972,16
149,chr1,973,16
149,chr1,974,16
149,chr1,975,16
149,chr1,976,16
149,chr1,977,16
149,chr1,978,16
149,chr1,979,14
149,chr1,980,14
149,chr1,981,16
149,chr1,982,15
149,chr1,983,15
149,chr1,984,15
149,chr1,985,15
149,chr1,986,15
149,chr1,987,16
149,chr1,988,16
149,chr1,989,16
149,chr1,990,16
149,chr1,991,16
149,chr1,992,14
149,chr1,993,14
149,chr1,994,14
149,chr1,995,14
149,chr1,996,14
149,chr1,997,14
149,chr1,998,14
149,chr1,999,14
149,chr1,1000,14
149,chr1,1001,14
149,chr1,1002,14
149,chr1,1003,14
149,chr1,1004,14
149,chr1,1005,14
149,chr1,1006,14
149,chr1,1007,14
149,chr1,1008,14
149,chr1,1009,14
149,chr1,1010,16
149,chr1,1011,16
149,chr1,1012,16
149,chr1,1013,16
149,chr1,1014,20
149,chr1,1015,20
149,chr1,1016,22
149,chr1,1017,22
149,chr1,1018,22
149,chr1,1019,22
149,chr1,1020,22
149,chr1,1021,20
149,chr1,1022,20
149,chr1,1023,20
149,chr1,1024,20
149,chr1,1025,20
149,chr1,1026,22
149,chr1,1027,22
149,chr1,1028,24
149,chr1,1029,24
149,chr1,1030,24
149,chr1,1031,23
149,chr1,1032,23
149,chr1,1033,23
149,chr1,1034,23
149,chr1,1035,23
149,chr1,1036,23
149,chr1,1037,23
149,chr1,1038,23
149,chr1,1039,23
149,chr1,1040,23
149,chr1,1041,23
149,chr1,1042,23
149,chr1,1043,23
149,chr1,1044,23
149,chr1,1045,23
149,chr1,1046,24
149,chr1,1047,24
149,chr1,1048,24
149,chr1,1049,24
149,chr1,1050,24
149,chr1,1051,47
149,chr1,1052,69
149,chr1,1053,109
149,chr1,1054,155
149,chr1,1055,183
149,chr1,1056,187
149,chr1,1057,188
149,chr1,1058,212
149,chr1,1059,212
149,chr1,1060,212
149,chr1,1061,212
149,chr1,1062,212
149,chr1,1063,212
149,chr1,1064,216
149,chr1,1065,216
149,chr1,1066,216
149,chr1,1067,216
149,chr1,1068,216
149,chr1,1069,214
149,chr1,1070,214
149,chr1,1071,214
149,chr1,1072,213
149,chr1,1073,213
149,chr1,1074,213
149,chr1,1075,211
149,chr1,1076,211
149,chr1,1077,128
149,chr1,1078,116
149,chr1,1079,81
149,chr1,1080,79
149,chr1,1081,79
149,chr1,1082,79
149,chr1,1083,21
149,chr1,1084,21
149,chr1,1085,21
149,chr1,1086,21
149,chr1,1087,21
149,chr1,1088,21
149,chr1,1089,21
149,chr1,1090,21
149,chr1,1091,45
149,chr1,1092,51
149,chr1,1093,51
149,chr1,1094,51
149,chr1,1095,54
149,chr1,1096,54
149,chr1,1097,54
149,chr1,1098,54
149,chr1,1099,54
149,chr1,1100,49
149,chr1,1101,49
149,chr1,1102,49
149,chr1,1103,49
149,chr1,1104,49
149,chr1,1105,49
149,chr1,1106,49
149,chr1,1107,49
149,chr1,1108,49
149,chr1,1109,49
149,chr1,1110,49
149,chr1,1111,49
149,chr1,1112,82
149,chr1,1113,83
149,chr1,1114,115
149,chr1,1115,119
149,chr1,1116,119
149,chr1,1117,123
149,chr1,1118,135
149,chr1,1119,145
149,chr1,1120,127
149,chr1,1121,128
149,chr1,1122,128
149,chr1,1123,128
149,chr1,1124,126
149,chr1,1125,126
149,chr1,1126,126
149,chr1,1127,126
149,chr1,1128,128
149,chr1,1129,128
149,chr1,1130,128
149,chr1,1131,129
149,chr1,1132,127
149,chr1,1133,127
149,chr1,1134,126
149,chr1,1135,127
149,chr1,1136,123
149,chr1,1137,123
149,chr1,1138,117
149,chr1,1139,58
149,chr1,1140,65
149,chr1,1141,75
149,chr1,1142,81
149,chr1,1143,82
149,chr1,1144,82
149,chr1,1145,70
149,chr1,1146,70
149,chr1,1147,68
149,chr1,1148,64
149,chr1,1149,64
149,chr1,1150,38
149,chr1,1151,37
149,chr1,1152,37
149,chr1,1153,37
149,chr1,1154,29
149,chr1,1155,36
149,chr1,1156,92
149,chr1,1157,152
149,chr1,1158,235
149,chr1,1159,394
149,chr1,1160,505
149,chr1,1161,732
149,chr1,1162,1477
149,chr1,1163,3386
149,chr1,1164,4583
149,chr1,1165,6746
149,chr1,1166,7242
149,chr1,1167,7302
149,chr1,1168,7364
149,chr1,1169,7379
149,chr1,1170,7406
149,chr1,1171,7412
149,chr1,1172,7413
149,chr1,1173,7414
149,chr1,1174,7423
149,chr1,1175,7423
149,chr1,1176,7423
149,chr1,1177,7423
149,chr1,1178,7422
149,chr1,1179,7420
149,chr1,1180,7414
149,chr1,1181,7388
149,chr1,1182,7375
149,chr1,1183,6428
149,chr1,1184,6369
149,chr1,1185,6333
149,chr1,1186,6190
149,chr1,1187,5247
149,chr1,1188,4937
149,chr1,1189,4593
149,chr1,1190,2129
149,chr1,1191,1206
149,chr1,1192,573
149,chr1,1193,191
149,chr1,1194,51
149,chr1,1195,47
149,chr1,1196,36
149,chr1,1197,26
149,chr1,1198,20
149,chr1,1199,20
149,chr1,1200,7
149,chr1,1201,7
149,chr1,1202,8
149,chr1,1203,8
149,chr1,1204,8
149,chr1,1205,8
149,chr1,1206,8
149,chr1,1207,8
149,chr1,1208,8
149,chr1,1209,6
149,chr1,1210,6
149,chr1,1211,6
149,chr1,1212,6
149,chr1,1213,6
149,chr1,1214,6
149,chr1,1215,8
149,chr1,1216,8
149,chr1,1217,8
149,chr1,1218,8
149,chr1,1219,8
149,chr1,1220,8
149,chr1,1221,9
149,chr1,1222,9
149,chr1,1223,9
149,chr1,1224,9
149,chr1,1225,9
149,chr1,1226,9
149,chr1,1227,9
149,chr1,1228,9
149,chr1,1229,9
149,chr1,1230,9
149,chr1,1231,9
149,chr1,1232,9
149,chr1,1233,9
149,chr1,1234,9
149,chr1,1235,9
149,chr1,1236,9
149,chr1,1237,9
149,chr1,1238,9
149,chr1,1239,9
149,chr1,1240,9
149,chr1,1241,9
149,chr1,1242,9
149,chr1,1243,9
149,chr1,1244,9
149,chr1,1245,9
149,chr1,1246,8
149,chr1,1247,10
149,chr1,1248,10
149,chr1,1249,10
149,chr1,1250,10
149,chr1,1251,10
149,chr1,1252,10
149,chr1,1253,10
149,chr1,1254,10
149,chr1,1255,10
149,chr1,1256,10
149,chr1,1257,11
149,chr1,1258,11
149,chr1,1259,11
149,chr1,1260,11
149,chr1,1261,11
149,chr1,1262,9
149,chr1,1263,9
149,chr1,1264,9
149,chr1,1265,9
149,chr1,1266,9
149,chr1,1267,9
149,chr1,1268,9
149,chr1,1269,9
149,chr1,1270,9
149,chr1,1271,9
149,chr1,1272,9
149,chr1,1273,9
149,chr1,1274,9
149,chr1,1275,9
149,chr1,1276,9
149,chr1,1277,9
149,chr1,1278,9
149,chr1,1279,9
149,chr1,1280,9
149,chr1,1281,9
149,chr1,1282,8
149,chr1,1283,8
149,chr1,1284,8
149,chr1,1285,8
149,chr1,1286,6
149,chr1,1287,6
149,chr1,1288,6
149,chr1,1289,6
149,chr1,1290,6
149,chr1,1291,6
149,chr1,1292,6
149,chr1,1293,6
149,chr1,1294,6
149,chr1,1295,6
149,chr1,1296,6
149,chr1,1297,6
149,chr1,1298,6
149,chr1,1299,6
149,chr1,1300,6
149,chr1,1301,6
149,chr1,1302,6
149,chr1,1303,6
149,chr1,1304,8
149,chr1,1305,8
149,chr1,1306,8
149,chr1,1307,8
149,chr1,1308,8
149,chr1,1309,8
149,chr1,1310,8
149,chr1,1311,8
149,chr1,1312,8
149,chr1,1313,8
149,chr1,1314,8
149,chr1,1315,9
149,chr1,1316,9
149,chr1,1317,9
149,chr1,1318,9
149,chr1,1319,13
149,chr1,1320,14
149,chr1,1321,17
149,chr1,1322,16
149,chr1,1323,55
149,chr1,1324,146
149,chr1,1325,331
149,chr1,1326,976
149,chr1,1327,3538
149,chr1,1328,4628
149,chr1,1329,6521
149,chr1,1330,7995
149,chr1,1331,7997
149,chr1,1332,7934
149,chr1,1333,7516
149,chr1,1334,6265
149,chr1,1335,7654
149,chr1,1336,7897
149,chr1,1337,7916
149,chr1,1338,7996
149,chr1,1339,8008
149,chr1,1340,8010
149,chr1,1341,7998
149,chr1,1342,8012
149,chr1,1343,8009
149,chr1,1344,8010
149,chr1,1345,8010
149,chr1,1346,8011
149,chr1,1347,8012
149,chr1,1348,8016
149,chr1,1349,8017
149,chr1,1350,8012
149,chr1,1351,8016
149,chr1,1352,8015
149,chr1,1353,7922
149,chr1,1354,7922
149,chr1,1355,7662
